MIR_ID	Rcc1_miR_prog	Rcc10_miR_nonprog	Rcc11_miR_prog	Rcc12_miR_nonprog	Rcc13_miR_nonprog	Rcc15_miR_nonprog	Rcc16_miR_nonprog	Rcc17_miR_nonprog	Rcc18_miR_nonprog	Rcc19_miR_nonprog	Rcc2_miR_prog	Rcc20_miR_nonprog	Rcc21_miR_nonprog	Rcc22_miR_nonprog	Rcc23_miR_nonprog	Rcc3_miR_prog	Rcc4_miR_nonprog	Rcc5_miR_prog	Rcc7_miR_nonprog	Rcc8_miR_prog	Rcc9_miR_prog
miR-221-3p	272	7822	9658	2077	10234	5129	3509	7020	14559	9132	4281	1009	8753	2161	4733	1353	1764	8365	917	390	3956
miR-4497-5p	265	124	128	142	94	259	57	95	130	96	171	167	142	140	168	200	144	367	186	212	302
miR-23a-3p	264	46705.5	27021.5	2983.5	24200	8220	12283.5	36112	38415	51721	19628.5	688.5	38185.5	4781	17413.5	11506	8895.5	48002.5	1634	202	1477
miR-3142-5p	243	282	142	233	314	447	174	527	137	270	179	374	411	233	189	117	58	281	382	274	190
miR-30c-2-3p	235	1082	909	798	1392	692	597	1659	1928	1809	1029	896	2553	674	850	568	185	304	678	164	651
miR-451a-5p	234	135781	21688	8009	5649	527184	90419.5	57104	66110.5	115591	13178	9470	92594	39487	94700	13746	32125	226841	15786	362	18891
miR-320a-5p	217	111	105	65	35	67	33	37	113	63	126	54	74	42	132	105	113	251	175	151	84
miR-4277-3p	204	132	107	156	153	302	174	190	150	121	199	204	107	161	175	141	73	166	184	400	510
miR-6817-3p	202	1558	910	1055	849	382	500	1410	1200	410	844	395	1580	571	1344	452	394	643	385	341	1019
miR-6075-3p	195	157	95	96	43	151	75	72	199	54	86	99	109	86	136	55	75	189	93	189	167
miR-4633-5p	194	2145	2597	1262	3195	1945	3738	4899	1574	1638	4056	82	1734	880	1071	3507	956	3345	869	154	836
miR-4488-5p	193	66	27	224	65	234	93	44	23	32	54	132	51	82	45	43	29	51	75	244	176
miR-99b-5p	192	10736	7625	2302	6884	3989	3606	12249	12422.5	13117	6516	496	12039	1843	4730	4560	4118	9322	1119	163	1133
miR-4501-5p	191	1667	1572	795	1940	727	363	2331	1834	461	3828	162	853	322	1692	1079	245	1567	1286	193	902
miR-145-5p	189	17092.5	14269.5	2337	8311	4796	4370	14667.5	30006	32487	10624	508	29976.5	1856	11240	3415	10495	14084	1242	220	516
miR-10400-3p	187	90	146	1060	209	1713	1041	265	256	160	174	838	214	384	52	61	70	97	457	3708	705
miR-6804-5p	187	6	4	21	2	10	3	3	7	1	40	8	16	3	28	11	5	13	20	50	8
miR-874-3p	185	111	225	261	291	506	174	180	871	331	141	506.5	389	181	178	44	29	293	243	175	409
miR-27b-3p	184	196121.3333	40552	6659.666667	35304.5	14447.16667	27076.5	94086.66667	70566.5	89709.66667	50002.83333	734.5	85305.5	8803.666667	37966.5	28617.5	19828.33333	45842.83333	2464.666667	210	2231
miR-320d-1-3p	181.3333333	163.6	154.0333333	171.3333333	235.3333333	241.7666667	140.6666667	230	201	219	203.6	464	200.4	264.8666667	131.9666667	151.9	64.33333333	159.3333333	272.6666667	267.6	243.6666667
miR-1224-5p	177	42	37	94	21	46	47	21	111	10	78	106	71	54	64	41	35	67	97	139	171
miR-1180-3p	176	351	312	221	353	414	228	302	300	271	136	293	450	309	143	160	137	143	151	147	161
miR-501-5p	164	135	71	198	106	120	68	242	262	128	134	390	293	174	76	34	15	70	202	101	237
miR-26a-5p	164	159882	64180	9449	63948	22875	27444	134711	141621	125976	68238	925	119994	9821	49620	35198	35072	107115	3053	224	2591
miR-6883-5p	163	29	16	34	6	39	13	26	36	1	40	28	16	15	73	36	46	42	57	111	58
miR-24-1-3p	163	37905.66667	17586	3390.5	15240.5	8678	9709	30313.5	25669	29598	15847.5	425	28973.5	3305	13331.5	7299	10952.5	26142.5	1967.5	173	1259
miR-29a-3p	161	40313.5	24382.83333	5567.333333	32513.5	13537	15642.66667	67520	60469.5	33799.83333	30711.33333	863	35304	6472	18428.5	12296	19181.5	32412.5	2296	302	3175.5
miR-7704-5p	158	131	91	109	141	129	59	112	153	137	115	159	150	188	67	106	148	142	129	174	199
miR-718-3p	157	2259	2086	750	898	1542	711	1785	1745	2477	1199	223	2631	1130	1502	1285	1523	1829	458	209	578
miR-7846-3p	156	59	45	62	51	95	14	62	84	27	133	48	24	29	69	60	34	103	123	183	152
miR-12135-3p	156	3065	2278	215	2283.5	105	661	2197	3834.5	554	799	626	3704	539	1463	434	106	541	135	49	2008
miR-4755-3p	153	33	34	69	30	61	11	36	34	30	86	65	19	26	47	101	7	80	94	207	84
miR-409-3p	153	149	326	138	162	216	220	183	457	414	77	652	529	279	152	36	78	586	131	63	135
miR-6793-5p	153	22	24	8	9	11	5	5	78	16	87	53	16	20	44	44	7	80	85	43	65
miR-146b-5p	151	4025	20741	1586.5	28871	5984.5	4531.5	12605.5	14779	13453	3301	1702	7148.5	4493	3008.5	3571	2582	17741.5	2656.5	942	728
miR-192-5p	148	40866.5	15765.5	3201	14452.5	8543	8930	49995.5	16725	20550.5	19185.5	940.5	26372.5	3688	7965.5	12140	4077.5	6279	1679	396	2838
miR-425-3p	148	148	87	69	152	88	63	161	226	189	160	79	150	130	109	69	35	158	78	84	134
miR-30a-3p	143	14104	9027	2189.5	8966.5	2943	3679.5	18835.5	12685.5	14142.5	10266.5	384	19483	1561	6733	4907	3355	4052.5	998	127.5	1593.5
miR-92a-3p	141	32865	13234	2243	14607	21245	10181	34178	25019	38015	13400	646	23938	4756	9973	8979	11630	21543	1220	128	1371
miR-671-5p	138	81	132	176	384	252	140	219	239	143	167	219	185	168	132	60	13	134	197	100	275
miR-4448-3p	136	520	814	376	758	425	504	574	658	302	999	41	430	285	430	581	125	695	399	169	906
miR-1260a-5p	136	14165.16667	13292.33333	2167	10088.5	7514	5573	15463.83333	9681.5	14126.83333	7605.5	301	13125.16667	4667.333333	6172.666667	4224.666667	7171	8390.5	1658	209	2846
miR-378c-3p	135	25	27	1380	46	61	50	26	18	12	44	876	42	56	19	8	8	14	61	351	37
miR-1199-3p	134	35	76	438	74	212	44	45	94.5	80	62	309	77	128	41	37	28	41	253.5	991	110.5
miR-6872-3p	133	57	115	344	107	437	364	128	65	85	61	223	51	90	27	35	65	49	149	505	289
miR-181a-5p	131	9701	6225	1507	9737	3923	3547	13850	8776	13014	5610	416	12977	3126	4444	3026	2847	6790	1057	131	831
miR-29c-5p	128	542	376	402	848	511	297	555	761	330	427	495	586	642	341	240	175	200	262	282	1151
miR-1291-5p	128	48	120	100	111	73	28	116	153	44	121	183	100	67	136	71	53	136	149	186	116
let-7f-1-5p	127	71091.5	19235.66667	4773.333333	22390.33333	24818.33333	12775.83333	51470.83333	42869.83333	46733	33452.66667	986.6666667	35490	5185	21400.33333	20368.83333	13046.66667	38902.16667	1903	176.6666667	3674.333333
miR-4508-5p	127	27	47	56	73	160	42	39	54	15	39	53	21	78	61	32	2	107	64	123	164
miR-6836-5p	126	26	10	20	15	122	21	24	50	15	21	51	65	41	56	27	36	83	39	45	73
miR-1275-5p	126	44	32	44	232	91	11	72	101	98	75	311	163	142	88	42	43	63	88	79	91
miR-3180-5-3p	124	18	27	24	33	130	21	55	25	14	51	51	19	27	37	27	24	78	77	159	135
